	mean_log	std_log	median_log	missing_ratio	n_nonzero
G_1	1.1700557181665083	0.3614642090503187	1.103502805994065	0.7048	738
G_2	1.1957497856685662	0.37021251546779466	1.131673150928998	0.766	585
G_3	1.249623141840175	0.38924669111550964	1.185150391443296	0.5724	1069
G_4	2.0350905043549696	0.6464849626145608	2.01808031033228	0.5544	1114
G_5	1.191512582311356	0.3791122081624088	1.1237142615208535	0.7223999999999999	694
G_6	1.2214778893520872	0.37809510027138804	1.1587012273216997	0.7183999999999999	704
G_7	1.3937680030316388	0.45950774998959654	1.325472338131787	0.6736	816
G_8	2.5029325450860953	0.7541272581992025	2.511557417574905	0.5376000000000001	1156
G_9	1.2267400996355797	0.3869599808804724	1.150517367922113	0.7112	722
G_10	1.3006816774346217	0.43815921900580307	1.2319969814705636	0.6552	862
G_11	1.6777944701163996	0.5741800598755611	1.6548052445819836	0.472	1320
G_12	1.6115231429953376	0.5452235870812777	1.5745325302686295	0.7644	589
G_13	1.7908200070106728	0.5996880637114986	1.7625743199147526	0.4508	1373
G_14	1.3437980502879279	0.4589540494393219	1.266502428246076	0.5276000000000001	1181
G_15	1.249204867940072	0.4043134599571943	1.1736469850563727	0.6719999999999999	820
G_16	1.1426250999216774	0.33117560477514374	1.076957385605095	0.85	375
G_17	1.742893236166123	0.5766327745123456	1.7221043957570885	0.49839999999999995	1254
G_18	1.4417696965379034	0.5008891182516338	1.3493978542558842	0.626	935
G_19	1.7722573931319685	0.5980029794097225	1.7629743352686753	0.41080000000000005	1473
G_20	1.549407744122564	0.512149490331532	1.5127500365639	0.4236	1441
G_21	2.4613591383859195	0.7326044249570551	2.484998321420278	0.522	1195
G_22	1.8461060821153852	0.6085395470452679	1.821970676376217	0.4468	1383
G_23	1.6143377878285694	0.5424574254254506	1.5772474254824305	0.484	1290
G_24	1.5857707975119837	0.5523060189047716	1.5309426393599497	0.5691999999999999	1077
G_25	1.362040953579563	0.4587676397958935	1.2810115577722965	0.5976	1006
G_26	1.3931644765502262	0.4828353187193477	1.3047954531620098	0.6768000000000001	808
G_27	1.4299361457941182	0.4879037674431123	1.3570608558553081	0.5576	1106
G_28	2.5633817249125066	0.7231399071997383	2.5955964509939102	0.3708	1573
G_29	1.494932549619045	0.5028753687658165	1.4483927943447297	0.6812	797
G_30	1.3296999086250456	0.44403754122438255	1.2490255778238577	0.5704	1074
G_31	1.6841691652715314	0.5877361608210588	1.6446963957595366	0.43479999999999996	1413
G_32	1.9604304296549238	0.6375056161291315	1.9454179188559995	0.4344	1414
G_33	1.1890186585553761	0.38818599785363345	1.0962843904647446	0.7776000000000001	556
G_34	1.0117672609572992	0.29198792451639694	0.9625527449599685	0.8888	278
G_35	1.4402101589813934	0.4700640733994019	1.3937276994327172	0.54	1150
G_36	2.218220301998355	0.7091674510415625	2.2076026619833224	0.46599999999999997	1335
G_37	1.2770295651141588	0.439526917572684	1.1712219345561738	0.7116	721
G_38	1.8751244239615013	0.6069170260513242	1.870506530653793	0.5671999999999999	1082
G_39	1.7207971091815477	0.5947872167808197	1.6906162999544172	0.45399999999999996	1365
G_40	1.9450273791830626	0.6861468840930222	1.8967857271473936	0.5428	1143
G_41	1.2932982226403942	0.4442981364209369	1.2093018202507555	0.756	610
G_42	1.4134759763601707	0.5041858429809933	1.3357088643317845	0.5388	1153
G_43	2.665949401371192	0.7516132686754491	2.6727067402753732	0.44920000000000004	1377
G_44	1.9851439231635053	0.6663516702749783	1.9628197921752875	0.404	1490
G_45	1.023230960266607	0.28949616735602623	0.9623576437405348	0.8716	321
G_46	2.351476267713693	0.7331019959354389	2.3711187138973515	0.3124	1719
G_47	2.997781864678439	0.7355490865563776	3.0366203952199786	0.48719999999999997	1282
G_48	1.4005547795272368	0.4575697368416189	1.3153614007769288	0.4464	1384
G_49	2.032645211299145	0.6609053834225751	2.0273056440933717	0.6184000000000001	954
G_50	1.2230641842616858	0.37546570414845326	1.1444995952311339	0.692	770
G_51	1.5601629310816554	0.5345716544026284	1.4974139218806668	0.5087999999999999	1228
G_52	1.6152926029438155	0.5512695874418898	1.560566872321738	0.39159999999999995	1521
G_53	1.316574472098317	0.4379911722987779	1.2461507591678362	0.5424	1144
G_54	2.0563258537402147	0.6185536437015511	2.068009495301948	0.48719999999999997	1282
G_55	1.8924580148518413	0.6636381432116103	1.8814908717948693	0.5528	1118
G_56	1.8754305808721174	0.6121417834792924	1.8571422284909067	0.4444	1389
G_57	2.0601323706046686	0.657530170763874	2.0732345441639373	0.43279999999999996	1418
G_58	1.0140835974313238	0.26798164549564285	0.9750331070525797	0.9008	248
G_59	1.6940873524416358	0.5479087599513015	1.67316441566266	0.5811999999999999	1047
G_60	1.1007071094247525	0.31769612771560773	1.032352998066909	0.8388	403
G_61	1.436069944293528	0.48967808492068	1.371040455577309	0.626	935
G_62	1.530674829271539	0.5238450431498765	1.4854722980701986	0.38280000000000003	1543
G_63	1.176826017008269	0.35790293784787014	1.117046489203719	0.6624	844
G_64	1.5998209174341165	0.5558905714515836	1.535834533019343	0.6612	847
G_65	1.1689223461884901	0.3783515047067227	1.0780434971556911	0.78	550
G_66	1.330104207235952	0.4349347518228556	1.2483165405382337	0.6324000000000001	919
G_67	2.0329703803647616	0.6723417049857128	2.0060896569051136	0.5831999999999999	1042
G_68	1.2132705918597078	0.39014719127392383	1.1423153189438149	0.758	605
G_69	1.654032295072993	0.5738983464721072	1.6146588723710038	0.5072	1232
G_70	1.1169443421733403	0.3352855514077446	1.052681304921608	0.7988	503
G_71	1.6951628319745822	0.5804947523454838	1.6559753524905043	0.43200000000000005	1420
G_72	1.0932276920807382	0.3214681016367312	1.0369137691417052	0.8735999999999999	316
G_73	1.2228522812986302	0.39193228735346525	1.15451872222323	0.6596	851
G_74	1.0818774937832596	0.3081568297763649	1.0509843764024613	0.8704000000000001	324
G_75	1.6755097955009879	0.5714102118754367	1.6493778557416128	0.484	1290
G_76	1.1555660854828032	0.33923729442395045	1.1061351613310972	0.79	525
G_77	1.3189489632096514	0.42387127004951763	1.239180836008712	0.6716	821
G_78	1.668574195161188	0.5306325638256891	1.6589251363072552	0.5416000000000001	1146
G_79	2.0385349891457074	0.6156956350501486	2.0472999466765973	0.3216	1696
G_80	1.8643285376870662	0.6182259302894765	1.8417032641911344	0.5	1250
G_81	1.4259805566360109	0.4751754371799947	1.369634790219843	0.5232	1192
G_82	2.5683387914190914	0.7471175156226475	2.580706983751524	0.43200000000000005	1420
G_83	2.068443590076115	0.650975396352584	2.0590826817529204	0.6148	963
G_84	1.4824721890871164	0.49981729499687966	1.4072614794401366	0.5544	1114
G_85	2.86173899407419	0.7466895665459594	2.8682578537623487	0.5272	1182
G_86	1.212025943045796	0.39059363062677577	1.1282684982509978	0.622	945
G_87	1.5018270570375973	0.5059518526363589	1.421342332714933	0.556	1110
G_88	2.401050849298983	0.7352635876982694	2.44463275065006	0.6052	987
